Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
19907,0,0,0,0,0,0,22.85,2,5,5,6,6,6
19998,0,0,0,0,0,0,22.91,2,2,2,6,6,6
20103,0,0,0,0,0,0,22.91,2,5,6,6,6,6
20193,0,0,0,0,0,0,22.98,2,5,5,6,6,6
20313,0,0,0,0,0,0,22.98,1,4,3,6,6,6
20389,0,0,0,0,0,0,22.79,1,2,2,6,6,6
20508,0,0,0,0,0,0,22.91,1,5,4,7,7,7
20583,0,0,0,0,0,0,22.66,1,4,4,7,7,7
20703,0,0,0,0,0,0,22.91,0,2,2,7,7,7
20793,0,0,0,0,0,0,22.85,1,2,1,7,7,7
20913,0,0,0,0,0,0,22.98,1,4,3,7,7,7
20988,0,0,0,0,0,0,22.91,1,4,3,7,7,7
21123,0,0,0,0,0,0,22.98,0,1,2,7,7,7
21198,0,0,0,0,0,0,22.79,0,2,1,7,7,7
21318,0,0,0,0,0,0,22.85,1,3,3,7,7,7
21408,0,0,0,0,0,0,22.98,1,3,3,7,7,7
21513,0,0,0,0,0,0,22.79,0,0,0,7,6,6
21603,0,0,0,0,0,0,22.85,0,0,0,7,6,6
21738,0,0,0,0,0,0,22.79,0,1,2,7,6,6
21814,0,0,0,0,0,0,22.85,0,1,2,7,6,6
21918,0,0,0,0,0,0,22.91,0,0,0,7,6,6
22023,0,0,0,0,0,0,22.98,0,1,2,7,6,6
22128,0,0,0,0,0,0,22.85,0,2,2,7,6,6
22218,0,0,0,0,0,0,22.91,0,1,1,7,6,6
22323,0,0,0,0,0,0,22.79,0,0,0,7,6,6
22428,0,0,0,0,0,0,22.85,0,1,2,7,6,6
22533,0,0,0,0,0,0,22.79,0,2,2,6,4,4
22638,0,0,0,0,0,0,22.79,0,0,0,6,4,4
22744,0,0,0,0,0,0,22.98,0,0,0,6,4,4
22833,0,0,0,0,0,0,22.79,0,1,1,6,4,4
22938,0,0,0,0,0,0,22.79,0,1,1,6,4,4
22998,0,0,0,0,0,0,22.91,0,0,0,6,4,4
23148,0,0,0,0,0,0,22.79,0,1,0,6,4,4
23210,0,0,0,0,0,0,22.91,0,1,1,6,4,4
23343,0,0,0,0,0,0,22.79,0,1,1,6,4,4
23403,0,0,0,0,0,0,22.85,0,0,0,6,4,4
23554,0,0,0,0,0,0,22.79,0,1,1,1,7,7
23613,0,0,0,0,0,0,22.91,0,0,1,1,7,7
23763,0,0,0,0,0,0,22.98,0,0,0,1,7,7
23808,0,0,0,0,0,0,22.66,0,0,0,1,7,7
23958,0,0,0,0,0,0,22.79,0,0,0,1,7,7
24018,0,0,0,0,0,0,22.66,0,1,0,1,7,7
24168,0,0,0,0,0,0,22.91,0,0,0,1,7,7
24213,0,0,0,0,0,0,22.79,0,0,0,1,7,7
24333,0,0,0,0,0,0,22.85,0,1,0,1,7,7
